자치구,동,지하철 주변 버스정류장 수,
서대문구,신촌동,0,"신촌, 이대"
서대문구,연희동,0,"홍대입구, 신촌, 망원"
마포구,용강동,0,"광흥창, 공덕, 마포"
마포구,대흥동,11,"대흥, 이대"
마포구,염리동,1,"이대, 신촌, 애오개"
마포구,신수동,1,"광흥창, 홍대입구, 신촌"
마포구,서교동,7,"홍대입구, 합정"
마포구,합정동,3,"합정, 홍대입구"
마포구,망원1동,0,"망원, 마포구청, 합정"
마포구,망원2동,2,"망원, 마포구청, 합정"
마포구,연남동,0,"홍대입구, 신촌, 합정"
마포구,성산1동,0,"가좌, 월드컵경기장, 마포구청"
마포구,성산2동,7,"가좌, 월드컵경기장, 마포구청"
마포구,상암동,9,디지털미디어시티
마포구,도화동,1,"공덕, 마포"
마포구,서강동,1,"광흥창, 상수"
마포구,공덕동,4,공덕
마포구,아현동,6,"아현, 애오개"
양천구,목1동,4,"목동, 오목교, 신목동"
양천구,목2동,3,"목동, 오목교, 신목동"
양천구,목3동,1,"목동, 오목교, 신목동"
양천구,목4동,0,"목동, 오목교, 신목동"
양천구,신월1동,0,"화곡, 까치산"
양천구,신월2동,0,"까치산, 신정네거리, 신정"
양천구,신월3동,0,"화곡, 우장산"
양천구,신월4동,0,"까치산, 신정네거리, 신정"
양천구,신월5동,0,"화곡, 우장산"
양천구,신월6동,0,"신정네거리, 신정"
양천구,신월7동,0,"까치산, 신정네거리, 신정"
양천구,신정1동,0,"신정네거리, 신정, 양천구청"
양천구,신정2동,0,"신정네거리, 신정, 양천구청"
양천구,신정3동,0,"신정네거리, 신정, 양천구청"
양천구,신정6동,0,"신정네거리, 신정, 양천구청"
양천구,신정7동,0,"신정네거리, 신정, 양천구청"
양천구,목5동,3,"목동, 오목교, 신목동"
양천구,신정4동,0,"신정네거리, 신정, 양천구청"
강서구,염창동,4,"염창, 등촌"
강서구,등촌1동,2,"등촌, 증미, 가양"
강서구,등촌2동,0,"등촌, 증미, 가양"
강서구,등촌3동,3,"등촌, 증미, 가양"
강서구,화곡본동,2,"화곡, 우장산, 까치"
강서구,화곡2동,0,"화곡, 우장산, 까치"
강서구,화곡3동,1,"화곡, 우장산, 까치"
강서구,화곡4동,0,"화곡, 우장산, 까치"
강서구,화곡6동,0,"화곡, 우장산, 까치"
강서구,화곡8동,2,"화곡, 우장산, 까치"
강서구,가양1동,6,"발산, 마곡, 양천향교"
강서구,가양2동,3,"양천향교, 가양"
강서구,가양3동,1,"양천향교, 가양, 염창"
강서구,발산1동,4,"우장산, 발산"
강서구,공항동,6,"송정, 공항시장, 김포공항"
강서구,방화1동,6,"개화산, 김포공항, 방화"
강서구,방화2동,4,"개화산, 김포공항, 방화"
강서구,방화3동,0,"개화산, 김포공항, 방화"
강서구,화곡1동,4,"화곡, 우장산, 까치산"
강서구,우장산동,5,"화곡, 우장산, 까치산"
구로구,신도림동,5,"신도림, 도림천"
구로구,구로1동,2,"구로, 구로디지털단지, 대림"
구로구,구로3동,5,"구로, 구로디지털단지, 대림"
구로구,구로4동,5,"구로, 구로디지털단지, 대림"
구로구,구로5동,3,"구로, 구로디지털단지, 대림"
구로구,고척1동,1,"개봉, 구일, 양천구청"
구로구,고척2동,0,"오류동, 신정네거리, 개봉"
구로구,개봉2동,0,"개봉, 오류동, 광명사거리"
구로구,개봉3동,0,"개봉, 철산, 오류동"
구로구,오류1동,4,"오류동, 천왕"
구로구,오류2동,3,"오류동, 천왕"
구로구,수궁동,5,온수
구로구,가리봉동,3,"남구로, 구로디지털단지, 가산디지털단지"
구로구,구로2동,5,"구로, 구로디지털단지, 대림"
구로구,개봉1동,4,"개봉, 오류동, 구일"
금천구,가산동,6,"가산디지털단지, 독산"
금천구,독산1동,3,"구로디지털단지, 가산디지털단지, 금천구청"
금천구,독산2동,0,"금천구청, 독산"
금천구,독산3동,0,"구로디지털단지, 독산, 신대방"
금천구,독산4동,0,독산
금천구,시흥1동,0,"금천구청, 독산, 석수"
금천구,시흥2동,0,"금천구청, 석수"
금천구,시흥3동,4,"금천구청, 석수"
금천구,시흥4동,0,금천구청
금천구,시흥5동,0,"금천구청, 석수"
영등포구,여의동,16,"여의나루, 국회의사당, 샛강"
영등포구,당산1동,4,영등포구청
영등포구,당산2동,5,당산
영등포구,양평1동,4,"양평, 당산, 문래"
영등포구,양평2동,3,선유도
영등포구,신길1동,3,"신길, 대방, 신풍"
영등포구,신길3동,2,"신길, 대방, 신풍"
