자치구,동,지하철 주변 버스정류장 수,자치구 내 지하철역
노원구,중계4동,0,"노원, 석계, 수락산, 당고개, 상계, 광운대, 태릉입구, 화랑대, 공릉, 태릉입구, 중계, 하계, 마들"
노원구,상계1동,2,"노원, 석계, 수락산, 당고개, 상계, 광운대, 태릉입구, 화랑대, 공릉, 태릉입구, 중계, 하계, 마들"
노원구,상계2동,2,"노원, 석계, 수락산, 당고개, 상계, 광운대, 태릉입구, 화랑대, 공릉, 태릉입구, 중계, 하계, 마들"
노원구,상계5동,0,"노원, 석계, 수락산, 당고개, 상계, 광운대, 태릉입구, 화랑대, 공릉, 태릉입구, 중계, 하계, 마들"
노원구,상계8동,0,"노원, 석계, 수락산, 당고개, 상계, 광운대, 태릉입구, 화랑대, 공릉, 태릉입구, 중계, 하계, 마들"
노원구,상계9동,1,"노원, 석계, 수락산, 당고개, 상계, 광운대, 태릉입구, 화랑대, 공릉, 태릉입구, 중계, 하계, 마들"
노원구,상계10동,0,"노원, 석계, 수락산, 당고개, 상계, 광운대, 태릉입구, 화랑대, 공릉, 태릉입구, 중계, 하계, 마들"
노원구,상계3.4동,2,"노원, 석계, 수락산, 당고개, 상계, 광운대, 태릉입구, 화랑대, 공릉, 태릉입구, 중계, 하계, 마들"
노원구,상계6.7동,0,"노원, 석계, 수락산, 당고개, 상계, 광운대, 태릉입구, 화랑대, 공릉, 태릉입구, 중계, 하계, 마들"
노원구,중계2.3동,0,"노원, 석계, 수락산, 당고개, 상계, 광운대, 태릉입구, 화랑대, 공릉, 태릉입구, 중계, 하계, 마들"
노원구,공릉1동,7,"노원, 석계, 수락산, 당고개, 상계, 광운대, 태릉입구, 화랑대, 공릉, 태릉입구, 중계, 하계, 마들"
은평구,녹번동,8,"디지털미디어시티, 구파발, 응암, 연신내, 불광, 녹번, 독바위, 증산, 구산, 역촌, 새절, 수색"
